state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
Oklahoma,3450654,2628434,3450654,3271350,179304,2556368,40,2000,"[0.4920000000000001, 0.363, 0.617, 0.782, 0.406, 0.368, 0.52, 0.555]",0.512875
Oklahoma,3751351,2706845,3751351,3419344,332007,2575381,40,2010,"[0.513, 0.332, -0.112, 0.4320000000000001, 0.363, 0.555, 0.782]",0.4092857142857143
Oregon,3421399,2961623,3421399,3146085,275314,2857616,41,2000,"[-0.428, -0.428, -0.315, -0.37, 0.333, -0.33, 0.192]",-0.1922857142857143
Oregon,3831074,3204614,3831074,3381012,450062,3005848,41,2010,"[-0.428, -0.184, -0.428, -0.37, 0.333, -0.33, -0.44]",-0.2638571428571429
Oregon,4237256,3169096,4237256,3648499,588757,3036158,41,2020,"[-0.428, -0.184, -0.394, 0.374, -0.428, -0.33, -0.44]",-0.26142857142857145
Pennsylvania,13002700,9750687,13002700,11953085,1049615,9553417,42,2020,"[0.316, 0.358, 0.636, -0.365, -0.4, -0.459, 0.166, 0.426, -0.132, -0.462, -0.32299999999999995, -0.48, -0.318, 0.53, 0.531, 0.375, 0.499, -0.331, 0.635, -0.314]",0.044399999999999995
Pennsylvania,12702379,10406288,12702379,11982719,719660,10094652,42,2010,"[-0.265, -0.303, 0.374, 0.252, 0.221, 0.258, -0.343, 0.244, -0.133, -0.271, -0.204, -0.119, -0.17800000000000002, 0.316, -0.326, -0.233, -0.472, -0.331, 0.5379999999999999, -0.484, 0.068, -0.314, -0.321]",-0.08808695652173915
Pennsylvania,12281054,10484203,12281054,11886966,394088,10322455,42,2000,"[0.416, -0.265, 0.336, -0.494, -0.416, 0.426, -0.303, 0.232, -0.31, -0.233, 0.225, -0.472, -0.331, -0.271, 0.251, 0.34, 0.5379999999999999, -0.484, 0.329, -0.338, 0.635, 0.068, 0.338]",0.00943478260869565
Puerto Rico,3725789,2825100,3725789,37334,3688455,26946,72,2010,[],
Puerto Rico,3808610,3064862,3808610,45864,3762746,33966,72,2000,[],
Puerto Rico,3285874,560592,3285874,36831,3249043,24548,72,2020,[],
Rhode Island,1048319,891191,1048319,957499,90820,858433,44,2000,"[-0.409, -0.33, 0.084, -0.3670000000000001, 0.003]",-0.20380000000000006
Rhode Island,1052567,856869,1052567,921912,130655,803685,44,2010,"[-0.375, -0.409, -0.3670000000000001, -0.355]",-0.37650000000000006
Rhode Island,1097379,782920,1097379,915278,182101,754050,44,2020,"[-0.375, -0.389, -0.3670000000000001, -0.355]",-0.37150000000000005
South Carolina,5118425,3243442,5118425,4765587,352838,3178552,45,2020,"[0.536, 0.735, 0.5920000000000001, 0.8009999999999999, 0.5870000000000001, 0.401, -0.464, 0.626, 0.394]",0.46755555555555556
South Carolina,4012012,2695560,4012012,3916936,95076,2652291,45,2000,"[0.32, -0.256, 0.6859999999999999, 0.394, 0.7, -0.464, 0.391, -0.293]",0.18475000000000003
